"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","1271","2203492265984","41721856","12177408","25328","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","10.953125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3180","Microsoft.Win32.SafeHandles.SafeProcessHandle","1271","940",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25328","25328","12177408","12177408","601016","601016","14970880","14970880","45486080","45486080","186667008","2203504889856","True","Normal","12177408","12177408","00:00:07.1250000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:10.9531250","00:00:03.8281250","174043136","2203492265984","False",,,,"41721856","41721856",,
"svchost","0","367","2203555753984","24801280","28798976","16288","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","10.890625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3204","Microsoft.Win32.SafeHandles.SafeProcessHandle","367","2868",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16288","16288","28798976","28798976","143112","143112","66875392","66875392","66789376","66789376","323801088","2203642023936","True","Normal","28798976","28798976","00:00:08.1250000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:10.8906250","00:00:02.7656250","237531136","2203555753984","False",,,,"24801280","24801280",,
"Memory Compression","0","0","278265856","184594432","618496","0",,,"10.453125",,,,,"Process","8",,,,,,"0","1996",".","0","",,,,,"0","0","618496","618496","4224","4224","626688","626688","186011648","186011648","286392320","286392320",,,"618496","618496","00:00:10.4531250","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:10.4531250","00:00:00","278265856","278265856","False",,,,"184594432","184594432",,
"svchost","0","344","2203430412288","20987904","10637312","10208","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","9.640625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3952","Microsoft.Win32.SafeHandles.SafeProcessHandle","344","2316",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10208","10208","10637312","10637312","95248","95248","23216128","23216128","35237888","35237888","117682176","2203435905024","True","Normal","10637312","10637312","00:00:05.7031250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:09.6406250","00:00:03.9375000","112189440","2203430412288","False",,,,"20987904","20987904",,
"StartMenuExperienceHost","1","1126","2207128821760","133222400","52883456","50672","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","Microsoft Corporation","8.921875","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Windows Start Experience Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3720","Microsoft.Win32.SafeHandles.SafeProcessHandle","1126","5492",".","0","","System.Diagnostics.ProcessModule (StartMenuExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","50672","50672","52883456","52883456","1005096","1005096","58712064","58712064","157896704","157896704","-453177344","2207160012800","True","Normal","52883456","52883456","00:00:05.2343750","StartMenuExperienceHost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:34 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.9218750","00:00:03.6875000","-484368384","2207128821760","False",,,,"133222400","133222400",,
"lsass","0","1474","2203442593792","29114368","8445952","25168",,,"7.546875",,,,,"Process","9",,,,,,"1474","812",".","0","",,,,,"25168","25168","8445952","8445952","188232","188232","8744960","8744960","33337344","33337344","152039424","2203470262272",,,"8445952","8445952","00:00:04.6093750","lsass",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.5468750","00:00:02.9375000","124370944","2203442593792","False",,,,"29114368","29114368",,
"svchost","0","285","2203451551744","26771456","4255744","14152","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","7.484375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3768","Microsoft.Win32.SafeHandles.SafeProcessHandle","285","4064",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14152","14152","4255744","4255744","171208","171208","5074944","5074944","28065792","28065792","139390976","2203457613824","True","Normal","4255744","4255744","00:00:04.2187500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.4843750","00:00:03.2656250","133328896","2203451551744","False",,,,"26771456","26771456",,
"sihost","1","733","2203553058816","49819648","7778304","24608","C:\WINDOWS\system32\sihost.exe","Microsoft Corporation","6.484375","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Shell Infrastructure Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3776","Microsoft.Win32.SafeHandles.SafeProcessHandle","733","3300",".","0","","System.Diagnostics.ProcessModule (sihost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24608","24608","7778304","7778304","372032","372032","8142848","8142848","51478528","51478528","244027392","2203562250240","True","Normal","7778304","7778304","00:00:03.8906250","sihost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:28 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.4843750","00:00:02.5937500","234835968","2203553058816","False",,,,"49819648","49819648",,
"svchost","0","263","2203458801664","26890240","15159296","15920","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","5.375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3784","Microsoft.Win32.SafeHandles.SafeProcessHandle","263","880",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15920","15920","15159296","15159296","137576","137576","17731584","17731584","31555584","31555584","141893632","2203460116480","True","Normal","15159296","15159296","00:00:03.8437500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:54:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.3750000","00:00:01.5312500","140578816","2203458801664","False",,,,"26890240","26890240",,
"services","0","612","2203394207744","10215424","4624384","11624",,,"4.984375",,,,,"Process","9",,,,,,"612","792",".","0","",,,,,"11624","11624","4624384","4624384","155088","155088","5431296","5431296","12009472","12009472","89190400","2203407413248",,,"4624384","4624384","00:00:02.9687500","services",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:14 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9843750","00:00:02.0156250","75984896","2203394207744","False",,,,"10215424","10215424",,
"msedge","1","411","2324313546752","56463360","21155840","31752","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","4.96875","143.0.3650.75","143.0.3650.75","Microsoft Edge","Microsoft Edge","Process","10",,"False",,"4144","Microsoft.Win32.SafeHandles.SafeProcessHandle","411","1616",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31752","31752","21155840","21155840","911376","911376","24510464","24510464","81199104","81199104","772046848","2324349353984","True","AboveNormal","21155840","21155840","00:00:03.4218750","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 7:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9687500","00:00:01.5468750","736239616","2324313546752","False",,,,"56463360","56463360",,
